"date_cond","site_cond","station","largeur_riviere","profondeur_riviere","vitesse_courant","transparence_eau","temperature_eau_c"
"2021-10-01","100_92_R01",NA,3.86,0.26,2.644,"élevée",10.8
"2019-09-21","105_101_R01",NA,13.4,0.23,0.748,"faible",15.4
"2020-09-17","108_119_R01",NA,5,0.5,0.786,"moyenne",NA
"2021-09-13","113_113_R01",NA,10,0.35,0.336,"moyenne",13.1
"2021-09-22","122_111_R01",NA,15,0.3,NA,"moyenne",13.6
"2021-10-14","122_84_R01",NA,8.75,0.34,0.94,"moyenne",17
"2019-09-09","122_92_R01",NA,13,0.29,NA,"élevée",13.1
"2018-09-28","124_86_R01","CERI01",7.43,0.41,NA,"moyenne",14.2
"2020-09-09","128_120_R01",NA,4.5,0.39,0.88,"moyenne",13
"2020-08-24","128_89_R01",NA,12.3,0.47,0.51,"moyenne",14.9
"2019-09-17","129_123_R01",NA,7,0.5,0.88,"moyenne",13
"2021-09-16","129_93_R01",NA,10,0.15,NA,"élevée",14.5
"2018-09-20","131_120_R01","SMAR01",10,0.34,NA,"élevée",12
"2020-09-21","132_116_R01","DMOU01",30,0.3,0.3607,"élevée",7.9
"2016-09-21","133_101_R01",NA,11,0.15,0.1938,"élevée",14.6
"2017-09-15","133_101_R01",NA,11,0.2,0.5754,"élevée",17.5
"2018-09-07","133_101_R01",NA,8,0.1,0.1306,"élevée",14.5
"2019-09-13","133_101_R01",NA,8,0.1,0.2966,"élevée",11.9
"2020-09-18","133_101_R01",NA,10,0.2,0.2248,"élevée",11.2
"2021-09-24","133_101_R01",NA,5,0.1,0.0504,"élevée",14.5
"2016-09-23","135_104_R01","TAWA01",25,0.35,NA,"élevée",12
"2021-09-17","135_104_R01","TAWA01",20,0.35,NA,"élevée",13.8
"2017-10-02","137_107_R01","SILE01",6.5,0.15,NA,"moyenne",10.1
"2016-09-27","137_110_R01","SAKI01",14,0.7,NA,"élevée",9
"2020-09-24","137_111_R01",NA,4,0.4,NA,"élevée",8.5
"2017-09-21","138_105_R01","STEU01",3,0.3,NA,"moyenne",15
"2017-09-22","139_103_R01","HURO01",10,0.4,NA,"moyenne",14
"2017-09-07","139_103_R02","DCHE01",11,0.3,0.284,"élevée",14.9
"2018-09-05","139_103_R02","DCHE01",10,0.35,0.4492,"élevée",19.1
"2019-09-23","139_103_R02","DCHE01",8,0.25,0.2898,"élevée",16.5
"2020-09-10","139_103_R02","DCHE01",12,0.5,0.4942,"élevée",13.5
"2017-09-26","141_108_R01","BOYE02",8,0.15,0.293,"élevée",20.3
"2019-09-20","141_108_R01","BOYE02",8,0.15,0.3228,"moyenne",13.8
"2020-09-25","141_108_R01","BOYE02",10,0.3,0.4786,"moyenne",10.6
"2021-10-06","141_108_R01","BOYE02",20,0.4,0.597,"élevée",10.1
"2020-09-15","141_124_R01",NA,3.8,0.15,NA,"élevée",7.7
"2021-09-03","142_120_R01",NA,0.8,0.05,NA,"moyenne",12.2
"2016-09-12","142_91_R01",NA,12,0.3,0.5066,"élevée",NA
"2019-10-09","142_91_R01",NA,20,0.45,NA,"élevée",11.5
"2018-09-18","145_141_R01","MARU01",6.65,NA,NA,"élevée",10.9
"2021-09-08","148_101_R01","NEBN01",11.5,0.5,8.746,"élevée",21.2
"2021-09-29","149_133_R01",NA,6,0.2,NA,"élevée",10
"2019-09-18","149_142_R01",NA,4.7,0.3,NA,"élevée",5.6
"2020-09-30","154_138_R01",NA,80,30,NA,"élevée",16.8
"2018-08-09","86_180_R01",NA,4,0.2,NA,"élevée",NA
"2019-09-12","99_88_R01",NA,2.5,0.2,NA,"faible",11.8
