"date","site","date_obs","heure_obs","fraction"
"2021-10-01","100_92_R01","2021-10-01","10:00:00",0.208333333333333
"2019-09-21","105_101_R01","2019-09-21","15:05:00",0.0625
"2020-09-17","108_119_R01","2020-09-17","13:00:00",0.0416666666666667
"2021-09-13","113_113_R01","2021-09-13","12:30:00",0.03125
"2021-09-22","122_111_R01","2021-09-22","14:15:00",0.0416666666666667
"2021-10-14","122_84_R01","2021-10-14","11:30:00",0.177083333333333
"2019-09-09","122_92_R01","2019-09-09","10:45:00",0.104166666666667
"2018-09-28","124_86_R01","2018-09-28","13:45:00",0.0833333333333333
"2020-09-09","128_120_R01","2020-09-09","12:15:00",0.0416666666666667
"2020-08-24","128_89_R01","2020-08-24","11:15:00",0.0729166666666667
"2019-09-17","129_123_R01","2019-09-17","15:58:00",0.0208333333333333
"2021-09-16","129_93_R01","2021-09-16","11:25:00",0.0416666666666667
"2018-09-20","131_120_R01","2018-09-20","15:00:00",0.316666666666667
"2020-09-21","132_116_R01","2020-09-21","12:30:00",0.133333333333333
"2016-09-21","133_101_R01","2016-09-21","11:00:00",0.075
"2017-09-15","133_101_R01","2017-09-15","09:30:00",0.05
"2018-09-07","133_101_R01","2018-09-07","10:30:00",0.0833333333333333
"2019-09-13","133_101_R01","2019-09-13","10:00:00",0.15
"2020-09-18","133_101_R01","2020-09-18","10:15:00",0.0666666666666667
"2021-09-24","133_101_R01","2021-09-24","10:00:00",0.116666666666667
"2016-09-23","135_104_R01","2016-09-23","09:30:00",0.1
"2021-09-17","135_104_R01","2021-09-17","11:00:00",0.125
"2017-10-02","137_107_R01","2017-10-02","12:30:00",0.233333333333333
"2016-09-27","137_110_R01","2016-09-27","09:30:00",0.05
"2020-09-24","137_111_R01","2020-09-24","11:00:00",0.25
"2017-09-21","138_105_R01","2017-09-21","13:30:00",0.025
"2017-09-22","139_103_R01","2017-09-22","10:00:00",0.0166666666666667
"2017-09-07","139_103_R02","2017-09-07","08:40:00",0.0166666666666667
"2018-09-05","139_103_R02","2018-09-05","11:30:00",0.0666666666666667
"2019-09-23","139_103_R02","2019-09-23","09:30:00",0.025
"2020-09-10","139_103_R02","2020-09-10","11:40:00",0.0333333333333333
"2017-09-26","141_108_R01","2017-09-26","08:00:00",0.0166666666666667
"2019-09-20","141_108_R01","2019-09-20","07:30:00",0.0166666666666667
"2020-09-25","141_108_R01","2020-09-25","07:45:00",0.025
"2021-10-06","141_108_R01","2021-10-06","08:30:00",0.075
"2020-09-15","141_124_R01","2020-09-15","10:30:00",0.0416666666666667
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667
"2016-09-12","142_91_R01","2016-09-12","12:00:00",0.00833333333333333
"2019-10-09","142_91_R01","2019-10-09","12:55:00",0.145833333333333
"2018-09-18","145_141_R01","2018-09-18","14:15:00",0.208333333333333
"2021-09-08","148_101_R01","2021-09-08","13:23:00",0.0208333333333333
"2021-09-29","149_133_R01","2021-09-29","09:45:00",0.0208333333333333
"2019-09-18","149_142_R01","2019-09-18","12:30:00",0.208333333333333
"2020-09-30","154_138_R01","2020-09-30","10:45:00",0.104166666666667
"2018-08-09","86_180_R01","2018-08-09","09:30:00",0.266666666666667
"2019-09-12","99_88_R01","2019-09-12","12:30:00",0.208333333333333
