"identification","phylum","class","orders","family","genus","taxo_min"
"Baetis","Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","genus"
"Ephemerella","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella","genus"
"Eurylophella","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","genus"
"Epeorus","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus","genus"
"Leucrocuta","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta","genus"
"Leptophlebiidae","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae",NA,"family"
"Glossosoma","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Glossosoma","genus"
"Hydropsychidae","Arthropoda","Insecta","Trichoptera","Hydropsychidae",NA,"family"
"Ceratopsyche","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Ceratopsyche","genus"
"Hydropsyche","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","genus"
"Lepidostoma","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","genus"
"Dolophilodes","Arthropoda","Insecta","Trichoptera","Philopotamidae","Dolophilodes","genus"
"Rhyacophila","Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus"
"Paracapnia","Arthropoda","Insecta","Plecoptera","Capniidae","Paracapnia","genus"
"Sweltsa","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa","genus"
"Leuctra","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","genus"
"Acroneuria","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria","genus"
"Isoperla","Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","genus"
"Probezzia","Arthropoda","Insecta","Diptera","Ceratopogonidae","Probezzia","genus"
"Ceratopogon","Arthropoda","Insecta","Diptera","Ceratopogonidae","Ceratopogon","genus"
"Tanytarsini","Arthropoda","Insecta","Diptera","Chironomidae",NA,"tribe"
"Orthocladiinae","Arthropoda","Insecta","Diptera","Chironomidae",NA,"subfamily"
"Pentaneurini","Arthropoda","Insecta","Diptera","Chironomidae",NA,"tribe"
"Hemerodromia","Arthropoda","Insecta","Diptera","Empididae","Hemerodromia","genus"
"Simulium","Arthropoda","Insecta","Diptera","Simuliidae","Simulium","genus"
"Antocha","Arthropoda","Insecta","Diptera","Limoniidae","Antocha","genus"
"Dicranota","Arthropoda","Insecta","Diptera","Pediciidae","Dicranota","genus"
"Hexatoma","Arthropoda","Insecta","Diptera","Limoniidae","Hexatoma","genus"
"Tipula","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","genus"
"Promoresia","Arthropoda","Insecta","Coleoptera","Elmidae","Promoresia","genus"
"Boyeria","Arthropoda","Insecta","Odonata","Aeshnidae","Boyeria","genus"
"Cordulegaster","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster","genus"
"Acari","Arthropoda","Arachnida",NA,NA,NA,"subclass"
"Pisidium","Mollusca","Bivalvia","Venerida","Sphaeriidae","Pisidium","genus"
"Maccaffertium","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","genus"
"Rhithrogena","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Rhithrogena","genus"
"Cheumatopsyche","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","genus"
"Ceraclea","Arthropoda","Insecta","Trichoptera","Leptoceridae","Ceraclea","genus"
"Limnephilidae","Arthropoda","Insecta","Trichoptera","Limnephilidae",NA,"family"
"Polycentropus","Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus","genus"
"Taeniopteryx","Arthropoda","Insecta","Plecoptera","Taeniopterygidae","Taeniopteryx","genus"
"Atherix","Arthropoda","Insecta","Diptera","Athericidae","Atherix","genus"
"Chironomidae","Arthropoda","Insecta","Diptera","Chironomidae",NA,"family"
"Chironomini","Arthropoda","Insecta","Diptera","Chironomidae",NA,"tribe"
"Corduliidae","Arthropoda","Insecta","Odonata","Corduliidae",NA,"family"
"Gomphidae","Arthropoda","Insecta","Odonata","Gomphidae",NA,"family"
"Oligochaeta","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Oligochaeta","genus"
"Isonychia","Arthropoda","Insecta","Ephemeroptera","Isonychiidae","Isonychia","genus"
"Micrasema","Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema","genus"
"Goera","Arthropoda","Insecta","Trichoptera","Goeridae","Goera","genus"
"Helicopsyche","Arthropoda","Insecta","Trichoptera","Helicopsychidae","Helicopsyche","genus"
"Chimarra","Arthropoda","Insecta","Trichoptera","Philopotamidae","Chimarra","genus"
"Paragnetina","Arthropoda","Insecta","Plecoptera","Perlidae","Paragnetina","genus"
"Optioservus","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus","genus"
"Ophiogomphus","Arthropoda","Insecta","Odonata","Gomphidae","Ophiogomphus","genus"
"Sphaerium","Mollusca","Bivalvia","Venerida","Sphaeriidae","Sphaerium","genus"
"Plauditus","Arthropoda","Insecta","Ephemeroptera","Baetidae","Plauditus","genus"
"Heptageniidae","Arthropoda","Insecta","Ephemeroptera","Heptageniidae",NA,"family"
"Neureclipsis","Arthropoda","Insecta","Trichoptera","Polycentropodidae","Neureclipsis","genus"
"Alloperla","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla","genus"
"Neoplasta","Arthropoda","Insecta","Diptera","Empididae","Neoplasta","genus"
"Stenelmis","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis","genus"
"Acerpenna","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna","genus"
"Serratella","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","genus"
"Hydroptila","Arthropoda","Insecta","Trichoptera","Hydroptilidae","Hydroptila","genus"
"Mystacides","Arthropoda","Insecta","Trichoptera","Leptoceridae","Mystacides","genus"
"Pseudolimnophila","Arthropoda","Insecta","Diptera","Limoniidae","Pseudolimnophila","genus"
"Trichoptera","Arthropoda","Insecta","Trichoptera",NA,NA,"order"
"Oecetis","Arthropoda","Insecta","Trichoptera","Leptoceridae","Oecetis","genus"
"Pycnopsyche","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","genus"
"Neophylax","Arthropoda","Insecta","Trichoptera","Uenoidae","Neophylax","genus"
"Strophopteryx","Arthropoda","Insecta","Plecoptera","Taeniopterygidae","Strophopteryx","genus"
"Psephenus","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","genus"
"Nigronia","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","genus"
"Nemertea","Nemertea",NA,NA,NA,NA,"phylum"
"Tricorythodes","Arthropoda","Insecta","Ephemeroptera","Leptohyphidae","Tricorythodes","genus"
"Oxyethira","Arthropoda","Insecta","Trichoptera","Hydroptilidae","Oxyethira","genus"
"Nectopsyche","Arthropoda","Insecta","Trichoptera","Leptoceridae","Nectopsyche","genus"
"Setodes","Arthropoda","Insecta","Trichoptera","Leptoceridae","Setodes","genus"
"Ectopria","Arthropoda","Insecta","Coleoptera","Psephenidae","Ectopria","genus"
"Calopteryx","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","genus"
"Coenagrionidae","Arthropoda","Insecta","Odonata","Coenagrionidae",NA,"family"
"Argia","Arthropoda","Insecta","Odonata","Coenagrionidae","Argia","genus"
"Brachycentrus","Arthropoda","Insecta","Trichoptera","Brachycentridae","Brachycentrus","genus"
"Lanthus","Arthropoda","Insecta","Odonata","Gomphidae","Lanthus","genus"
"Acentrella","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella","genus"
"Hydatophylax","Arthropoda","Insecta","Trichoptera","Limnephilidae","Hydatophylax","genus"
"Psychomyia","Arthropoda","Insecta","Trichoptera","Psychomyiidae","Psychomyia","genus"
"Hagenius","Arthropoda","Insecta","Odonata","Gomphidae","Hagenius","genus"
"Crambidae","Arthropoda","Insecta","Lepidoptera","Crambidae",NA,"family"
